topic_index	for_arguments	against_arguments
236	['definitions explanations early abortion should be legal by this i mean abortion should be legal for a woman to choose in the embryonic period of pregnancy ', 'the embryonic period in humans begins at fertilization penetration of the egg by the sperm and continues until the end of the  week of gestation  week by embryonic age ', 'medical non surgical abortions using medications such as mifepristone  are available in some clinics ']	
236	['con can assert that mere genetic humanity is so valuable and or grants personhood but that is all it is a mere assertion ', 'so here is the logical point if we are not justified to imposed a burden on billionaires of the world to give up all their wealth except a few million still leaving them richer than most to save thinking feeling self aware suffering post birth humans then it would be laughable disproportionate to then argue that we are justified to force women to give up more their bodily autonomy and the sufferings dangers of pregnancy in order to save less non thinking non feeling non self aware human embryos ', 'for example the right to life that is to say the right not to be killed god given as an absolute is untenable ergo killing something that is human is not necessarily murder ', 'it gets worse again for con has con established beyond mere assertion and implication that god given rights are such that a woman can not have an early abortion ', 'if you have to resort to such evasive tactics and disparaging remarks rather than deal with the actual argument maybe it is time to reconsider your position ', 'the argument still here is that rights most plausibly derive from interests desires and in the early stages of pregnancy the human organism has no such interests ', 'you know what is con who wants to argue early abortion is murder but when it is pointed out where this gets con just dismisses the analysis because it is too damaging for their position ', 'this is why we look to reason and consequence beyond just mere assertion of said rights ', ' inalienability of the will your own body con does not seem to dispute that ones own body is not subject to the same restrictions as property due to the fact that you have unique control over ones own body ', 'no conflict of rights interests in the embryonic period con points that rapists can just assert what rights we have presumably in such a way to allow rape ', 'a case for unequal value  year old child vs   human embryos cons counter merely showed what happens when our rationality is comprised eg our own child is involved ', 'maybe i was not clear enough what i was getting at is that such a right is untenable lest we live a world where our body it is various parts can be used against our will to save some one elses life ', 'i maintain that without factors at play to compromise our rationality even pro lifers would have a hard time saving   day human embryos over one  year old child ']	
236	['so here is the logical point if we are not justified to imposed a burden on billionaires of the world to give up all their wealth except a few million still leaving them richer than most to save thinking feeling self aware suffering post birth humans then it would be laughable disproportionate to then argue that we are justified to force women to give up more their bodily autonomy and the dangers of pregnancy in order to save less non thinking non feeling non self aware human embryos ', 'cons negative utilitarianism the least bad for the most people under cons own moral reasoning there are arguments that can be made in support of allowing early abortion ', ' mother vs fetus also consider a pregnancy where complications are such that either the woman or fetus can live but not both and fail to act means both die ', 'also consider if such an abortion is viewed as murder the rapist gets convicted of rape but following after is the woman who he raped is now in court because she had such an abortion and thus gets convicted of murder ', 'ironically con cites negative utilitarianism the least bad for the most people as an underlying moral frame work well con in your world we have to always be on guard and in fear of our body being conscripted against our will to save other people and thus i argue is against your own moral framework ', 'also consider that about  of zygotes do not survive to term up to half of all fertilized eggs die and are lost aborted spontaneously often unknown to the pregnant woman ', ' prevention of suffering of people born into the world with various diseases conditions eg tay sachs edwards syndrome huntingtons alymphocytosis ', 'the argument still is that the human organism in the embryonic period is not a person ', ' making abortion illegal does not stop them woman who have illegal abortions are at much greater risk of injury and death ', 'cons reasoning if accepted opens up the flood gates where people can have all sorts of things done to their body against their will in the name of saving others lives ', 'maybe con thinks this is wrong because they are assuming that any and all human organisms make it a person because of its humanity i do not think that is tenable for the following reasons ', 'if abortion is murder reducto argument contra con i did not say there are endless rows of women in prison for abortion what i argued for is that if abortion is murder and you are consistent and follow it to it is logical conclusion that is where it gets you ', 'con merely claims it is not unjust but did not explain in detail why vague sweeping notions eg apples and oranges is not a successful refutation of the argument here ']	
236	['if abortion is murder reducto argument if it is the case that abortion in the embryonic stage is equivalent to murder as some anti choicers assert then that means all women who have had an abortion in that period should all be in jail doing sentences for murder maybe even the death penalty as well as any future women who will have such an abortion ', 'they have therefore kidnapped you and last night the violinists circulatory system was plugged into yours so that your kidneys can be used to extract poisons from his blood as well as your own ', 'like wise it is argued a pregnant women can take action to be unplugged from the embryo inside of her she should not be forced to continue with a pregnancy anymore than some one plugged into the violinist to keep some one else alive such is yours hers bodily rights freedom ', 'so here is the logical point if we are not justified to imposed a burden on billionaires of the world to give up all their wealth except a few million still leaving them richer than most to save thinking feeling self aware suffering post birth humans then it would be laughable disproportionate to then argue that we are justified to force women to give up more their bodily autonomy and the dangers of pregnancy in order to save less non thinking non feeling non self aware human embryos ', 'all we need to claim to demonstrate that a fetus for my purposes in this debate the human organism in the embryonic stage is not a person is that any being which satisfies none of   is certainly not a person ', 'the logical point is that any anti abortion argument that is built upon such an absolute right to life right not to be killed has at it is foundation a false premise and can be rejected as such not to mention the double standard of selectively applying it in the case of pregnancy to deny abortion rights ', 'or  reject such a conclusion based on the realization that abortion is murder in the embryonic stage is false premise to begin with ', 'a case for unequal moral equivalence  year old child vs   human embryos consider the following you arrive at a burning building behind one door are   day human embryos behind another a  year old child ', 'for example we do not consider it an unjust burden to demand enforce that people do not poison the water supply but we would consider it an unjust burden to say restrict people to only wearing thick wool coats no matter how hot it is ', 'but as i argue they are not equal the  year old child not only trumps one  day human embryo it even trumps one hundred ', 'think about it the likes of charles manson ted bundy and next to them endless row cells of women who had an abortion in the embryonic stage ']	
236	['definitions explanations early abortion should be legal by this i mean abortion should be legal for a woman to choose in the embryonic period of pregnancy ', 'the embryonic period in humans begins at fertilization penetration of the egg by the sperm and continues until the end of the  week of gestation  week by embryonic age ', 'medical non surgical abortions using medications such as mifepristone  are available in some clinics ']	
236	['i still maintain that such an abortion being murder is more plausibly false and contra con if anyone is a victim here its women who have being told and had to live under laws that presuppose this false premise ', 'so here is the logical point if we are not justified to imposed a burden on billionaires of the world to give up all their wealth except a few million still leaving them richer than most to save thinking feeling self aware suffering post birth humans then it would be laughable disproportionate to then argue that we are justified to force women to give up more their bodily autonomy and the dangers of pregnancy in order to save less non thinking non feeling non self aware human embryos ', 'the zygote is endowed with genes from two parents and thus it is diploid carrying two sets of chromosomes they are human organisms once again demonstrating the point that not all human organisms are of equal moral value ', 'or  reject such a conclusion based on the realization that abortion is murder in the embryonic stage is false premise to begin with ', 'even if science can not prove others have self awareness this does not actually refute the criteria in theory only that it has problems in practice but this is often the case on many things ', 'cons negative utilitarianism the least bad for the most people under cons own moral reasoning there are arguments that can be made in support of allowing early abortion ', 'i maintain that the   personhood criteria is at least superior to cons criteria thus the argument still is the human organism in the embryonic stage is not a person and thus does not have a right to life how ever that right is defined ', 'bodily rights argument the violinist analogy recall how con had previously argued that you were not allowed to disconnect from the violinist in the name of saving another life as con had argued ', ' prevention of suffering of people born into the world with various diseases conditions eg tay sachs edwards syndrome huntingtons alymphocytosis ', ' mother vs fetus contra con in the later stages of pregnancy some fetuses can live outside the womb ', 'contra con again by having an early abortion such people do not exist in the first place thus such people are not getting killed ', 'so yes indeed cons reasoning does open the flood gates since under their reasoning peoples bodies can be used against their will in the name of saving other lives i showed were that justification gets you con is in denial here ', 'this is especially important considering con has yet to make much of an argument for their own person hood criteria ']	
236		['i guess my only choice is to forfeit this debate ', 'sorry to my opponent that my internet was wacked up ', 'if you would like a redo please contact me ']
236		[]
236		['if rights do not objectively exist then you can not say that a woman has objective bodily rights and you could not say objectively that the rapist and the kidnapper was wrong ', 'the huge problem with their argument is that if rights come from our own interest then that also means that the rapist and the kidnapper also get to define what rights we have ', 'in my opening argument i established that what makes someone have the right to life is the fact that they are human ', 'it was then stated that s body against her will a fetus carries out exactly this kind of aggression ', 'that said it is ridiculous to say that the mother has these rights when my opponent can not even establish that these bodily rights objectively exist ', 'otherwise there would be no rights at all and my opponent would have no argument for bodily rights ', 'so i am curious if the examples where mothers hurt themselves due to abortion being made illegal are just as common as abortions harming the mother ', 'while someone might save the child instead of the  embryos this would not show that the embryos were not human and vice versa ', 'i was not saying that there was no such thing as bodily rights but unless they can back up that claim objectively then their argument falls apart ', 'i have already made an argument for why humans have a positive right to life ', 'this would only show that the emotions of a person impacts their decision ', 'if there is an objective right to life then the human embryo gets that right as well ', 'i spent my whole opening argument proving that being human makes you have the right to life ', 'my opponent says i did make the argument that rights derive from our own interests desires but more importantly taking cons denial approach means rape kidnapping people and taking a kidney have not done something wrong since there was no bodily rights to be violated in the first place ', 'and if they decide to deny the existence of rights altogether then their whole argument falls apart and this debate comes down to me showing that rights exist objectively ']
236		['another argument against abortion is that since a cell in the human body has human dna and is alive and because it is okay to kill it therefore it makes no difference to kill the cells of a fetus ', 'the argument about the personhood of the fetus is very flawed since the people who make the claims have not really thought about what a person really is ', 'for example people say that these aliens would have the morality of a human the same functions of a human unlike a real alien and etc ', 'and if a person were to choose the embryos that does not make the child non human ', 'many people would recognize that the fetus is a human but would deny that the fetus is a person ', 'a fertilized egg has the nature of a whole human being which is not the case for a skin cell which only has the nature of skin ', 'as for the argument about people only having a negative right to life this also just isn t true ', 'the united states has always recognized that the life of any human is valuable ', 'then there is an argument about humans only having a negative right to life which means that that humans do not have a moral obligation to keep other humans alive ', 'so your decisions to save the son over the others does not make the others non human or less vauable ', 'my argument abortion should not be legal because the fetus is human and therefore has the right to life ', 'the very nature of the human is what makes a human being valuable ', 'the people who say this say that a person is someone who has moral consideration as opposed to someone who is human by nature ', 'not only does it presuppose the existence of aliens but the people who make this argument actually give human attributes to aliens making the aliens huaman ', 'our society also does not see it as an unjust burden to demand that people do not murder each other ', 'a person is not valuable because of their thoughts feelings or etc ', 'basically it is obvious that being human in nature means to have a positive right to life ']
236		['i accept this argument ']
236		['nothing changes here all we have done is just pushed back and dumped it on god ', 'that said i never said anything about rape cases ', 'i mean the embryo has done nothing wrong in any case so i do not see how my opponent sees the death of the child as valid ', 'so basically my opponents asserts that we have rights ', 'as for the quotes from carlin and harris they are emotional appeals and they do not actually discredit anything i have said ', 'on the other hand my opponent has made no justification as of to why the abortion should not be considered murder ', 'but all my opponent has presented are assertions about what rights we have ', 'this is why we look to reason and consequence beyond just mere assertion of said rights ', 'no conflict of rights interests in the embryonic period con points that rapists can just assert what rights we have presumably in such a way to allow rape ', 'they can not objectively establish rights and this causes their argument to fall apart ', 'that is why i spent my whole opening argument explaining why being human makes it not okay for the baby to be killed ', 'they have only addressed things said in my rebuttals of their arguments ', 'my whole thing about the death penalty was that not everyone agrees that it should be used at all ', 'my point was that objective rights could only exist with the existence of a god ', 'con can not have it both ways either con assumes such bodily rights exist that make rape kidnapping wrong in which case con can not complain or con continues to deny such bodily rights in which case i argue that con is forced to deny such bodily rights in order to justify their side of the debate ', 'now that they see that that position fails now they are buying into the ', 'but i never really went into specific details because i do not think i have to ']
236		['it may harm him temporarily but it will save a life which under a negative utilitarian view is the superior obligation ', 'not only have you done this but you have assumed away the laws of logic by having the second option deny a principle because it would lead to pain otherwise ', 'personhood i would like to contend with everything after  ', 'one five year old vs one hundred one hundred days old embryos once again you have to do the arithmetic ', '  should not be a test of humanity because it applies to literally almost all other organisms on earth ', 'it is based on the idea that the people against abortion have a double standard ', 'if abortion is murder the two options you present are not the only ones ', 'the number of women with these types of abortions are small ', 'you say that there are endless rows of women who have had abortions during the embryonic stage ']
236		['for the record i will not be citing philosophers professors or any other person unless i take an idea directly from them ']
236		['as for the assumption that i can not have science alongside my argument and still have morality this is false ', 'the only organs that would not be touched are those organs which are absolutely necessary for the life of an individual ', 'since a mom v fetus scenario does not exist than we can safely rule that this is an irrelevant point ', 'my criteria is the superior criteria because it actually shows that not everything is a person it is based on a rational empirical view of the world rather than the vague science denying notions of my opponent and it actually includes people who are sleeping as people people sleeping do not tick off any boxes in that   checklist ', 'my opponent says that i am wrong because usage of science which cares not for morality means that i can not prove that i am moral but i can prove that abortion is the act of a human killing a human ', 'in fact i can say that the two are intertwined but that is a discussion of personal philosophy that is inappropriate for this debate venue ', 'bodily autonomy when i said that the flood gates were not open i meant that was a hyperbole that did not truly apply ', 'i said that there are situations in which abortion will end in less death and that those situations are acceptable nothing else ', 'from what i understood from their first argument i can conclude that this is when a zygote dies on its own and is than removed ', 'secondarily my definition of people is directly contrasting to this so much that i need not expressly deny it ', ' mom v fetus my opponent failed to address the fact that a scenario where it is mom vs a fetus does not really exist today ', 'when you say that science points out that your criteria has problems in practice which is self admitted you point out a fatal flaw ', 'it is even worse to kill somebody who can not say no and can not stand up for themselves ', 'though in this last round i will likely come off as a little annoyed i promise that this is not the case ', 'if they are killed by another human than it is murder ', 'cons neg util  bodily autonomy previously covered  prevention of suffering and risks death stopping death does justify anything and everything except causing more death to do so ', 'it may not be as capable of using that knowledge as humans are but it still has that knowledge ', 'now to the rest of my rebuttal ', 'also considering recent advancements in technology it will not be too long before organ donation will be less necessary than before I am not going to provide a source otherwise this crosses the line from rebuttal to new point ']
236		['we can prove that a person has electric signals in the brain but as of yet we can not use this to prove anything about first person knowledge or thought ', 'when you are in a situation where you are the only one who can protect a human life than it is your responsibility to do so ', 'as for the argument about the abortion of dead eggs that is not immoral that is called cleanup ', 'after it came out of the chrysalis it would be on its way leaving no permanent impact on you ', 'there is no situation in which a fetus can be removed from a mother and still survive ', 'if abortion is murder when you say that you never talked about endless rows of cells i want to bring up this quote ', 'therefore the genetic test is the only test that can viably stand on its own because i can prove that i have human dna and i know that i have first person thoughts and knowledge and i can prove that others have human dna and i appreciate whole heartedly that i was not aborted ', 'we would not want the murderer to have less chance of the crime blowing up in his face ', 'old child vs   day old embryos you are attack on my counter to the analogy applies realism not inherent to the analogy ', ' mother v fetus let me set this up with one thing first ', 'if you were watching one person stab another and you had a tazer in one hand and a gun in the other you would not shoot the guy being stabbed you would taze the guy with the knife ', 'a sea horse is not a person but it fits all five criteria ', 'bodily rights argument the right to life is the ultimate moral imperative for a government to maintain ', 'the case that i bring up is a tragic accident where two people will die unless one of them is killed ', 'you can use that victimization to better rehabilitate those in need of rehabilitation but you can not ever use victimization as a reason to not rehabilitate ']
240	['in regards to killing a fetus a fetus that is in the womans body for a certain amount of time does have a brain but it still does not know anything ', 'if they pay for it through fines then that still means the government is paying for it just not with taxpayer dollars ', 'if a woman gives birth to a child then that child could become a good person or a bad person ', 'this is another reason that women should be allowed to have an abortion ', 'if the child is not taken care of well then it could become a bad person ']	
240	['the only thing the government should do is make sure the abortion is safe for the woman ', 'if a pregnant woman does not want to have a child than she could either have an abortion or put the baby up for adoption once it is born ', 'when a woman gets raped the government should pay for her to have an abortion because she should not have to pay for someone doing something terrible ', 'why should the woman get a consequence for her mistake by having a child when she does not want to ', 'i believe it is the right choice for a woman to have an abortion in cases of rape incest or if the life of the woman is danger ', 'so you can not say that fetuses do not want to get killed because they do not want anything ', 'i do not believe the government should forbid women from having an abortion in any cases ']	
240	['if the government does not allow her to have an abortion than that would mean that once a woman gets pregnant she has to have a child ', 'if the government does not allow a woman to have an abortion then they are forcing her to have a child ', 'if a woman becomes pregnant and decides that she does not want to have children than why should the government force her to have it ']	
240		['the child does have underdeveloped body parts when it is a fetus that is what makes it fetus in the first place a fetus is an underdeveloped human inside of a mother ', 'fetus does have human instincts like any animal it has a preset amount of knowledge so it can live ', 'people who say this is a womans rights issue is wrong it is a childs right issue because i was taught that a strong man stands up for himself a stronger man stands up for those who can not defend themselves ']
240		['a fetus still has human instincts it knows how to eat and breathe before it is even born so that idea that a fetus is a brainless piece of non human thing is wrong government should pay for abortion when it is dealing with rape and incest ', 'abortion is just an easy way out for when a woman decides that she had her fun but does not want the responsibly that follows when being a mother ', 'a fetus is a human it has skin organ systems a body is the fetus a human yes a underdeveloped human but still a human ']
240		['my opponent argues that a woman should be allowed to change her mind when it comes to having a child well she can change her but she can not just kill a child so she does not have raise it ', 'but the line must me drawn in the sand when it comes to those who made their choice by having sex and got pregnant ', 'abortion should not be legal to those who had consensual sex with a man and happened to get pregnant ']
244	['when ethics are concerned there is nothing wrong with expending some extra non medically required resources to ensure that women have all the information they need to make a judgement about abortion ']	
245	['most recently the european court of human rights in the case vo v france ruled that it is neither desirable nor even possible as matters stand to answer in the abstract the question whether the unborn child is a person for the purpose of article  of the convention providing that veryone s right to life shall be protected by law ', 'the only qualifier for you s citizenship rights is in fact being born in the you s pro says and contests this extends to all persons ', ' see e g human rights committee concluding observations mali para  ', 'the court therefore refused to adopt a ruling that would have called into question the validity of laws permitting abortion in  member states of the council of europe ', ' I am honestly not sure if based on the debate structure i am allowed to re cap my arguments ', 'the bottom line is this my opponent tries to use the united nations declaration of human rights in his favor but the undhr overwhelmingly favors pro choice legislation ', 'the mother has the right to privacy and bodily autonomy if fetuses can live outside of her body on their own fine ', 'to uphold the rights of women and achieve gender equality worldwide ban states you n members must ', 'if i consent to sex and contract an std it would be ridiculous to suggest i must be forced to live with this std forever or for a certain period of time against my will ', 'he goes on to explain why the scotus decision is flawed directly after telling us that we must accept the laws document as written ', 'if not they do not have the right to put her body in jeopardy and use someone elses body ', 'a few sentences later he criticizes the laws decision for validating abortion through roe v wade ', 'several un human rights bodies have recognized the harmful impact of restrictive abortion laws on women s health and have consistently raised general concerns about the inaccessibility of safe abortion services ']	
245	['by saying the right to life does not apply to babies outside of the you s implying only american fetuses are relevant my opponent is discrediting the argument that all fetuses have the right to life ', 'pros argument is that back alley abortions would not be a problem because before the supreme court case more than  of the illegal abortions were done by medical professionals with high standing in their fields ', 'in the last round i explained at length why a particular level of sentience and capacity for sentience should be the standard for legal personhood ', 'i went on to explain that abortion should be a legal choice for women because it is risky and directly involves their body and health ', 'so he is saying that medical professionals are thankfully willing to perform the procedure instead of having some hack do it ', 'second the reason there have been few deaths from illegal abortions is because abortion is available thanks to abortion doctors and people willing to do the procedure ', 'however my argument is not that we should make abortion legal simply because people will do it anyway it is that it makes no sense whatsoever to make women criminals for  not violating another persons rights and  because forcing unsafe abortion kills both fetus and woman making it a nonsensical standard ', 'throughout the next  years until abortion became legal the same number of women each year over  million in some years continued to seek abortions out illegally ', 'so pro must not only prove that fetuses have the right to life but that this right means they can violate other peoples bodies against their will in order to keep living ', 'pro counters that fetuses have that right as well however that is a bare assertion since i am specifically arguing that they do not ', 'pro says non fetus stem cells exist but that is irrelevant ', 'essentially there is no way pro can argue that back alley abortions are not unsafe or problematic ', 'if the law does not legally permit us to sell our own organs the law cannot claim to have more control over how our bodies are used than we do ', 'i argued that other people do not have the moral or legal authority to govern our bodies even if someone elses life is on the line ', 'however the push to criminalize abortion and not those who need fertility treatment proves the contention is less about protecting human lives and more about controlling womens bodies ', 'throughout this debate I have been arguing that it is more pragmatic to keep abortion legal as well as moral because fetuses do not have the right to life ', 'research by legal scholar shauna prewitt indicates that the resulting continued contact with the rapist is damaging for women who keep the child which is possible because  states in the you s allow rapists to assert custody and visitation rights over children conceived through rape ']	
245	['scotus decided in roe v wade that a right to privacy under the due process clause of the  amendment extended to a womans decision to have an abortion but that this right must be balanced against the states two legitimate interests in regulating abortions protecting womens health and protecting the potentiality of human life ', 'there is no other circumstance in which any persons body is forcibly used to keep another human being alive against their will ', 'for example if someone needs me to donate organs blood or plasma i cannot be legally forced to use my body to save their life even if it is my fault they need help say my drunk driving caused a car accident and their lives are now in danger because of my choices ', 'pro writes that females waive their right to bodily autonomy by consenting to sex ', 'it is the ability to feel think perceive and be self aware amongst other things that makes this important moral and legal distinction ', 'however the push to criminalize abortion and not those who need fertility treatment proves the contention is less about protecting human lives and more about controlling womens bodies ', 'however compare this to euthanasia which is the practice of intentionally ending a life in order to relieve pain and suffering ', 'however pros standard of the right to life means women who are in specific danger due to restricted medical care or resources especially in africa and south east asia will be forced to birth children even if it means that they are likely to die and that there babies will die or be uncared for ', 'while adoption may be a viable option for some particularly in the you s in other parts of the world that is not necessarily the case ', 'abortion should be a legal choice for women because it is risky and directly involves their body and health ', 'fetuses arguably do not have the right to life specifically as it pertains to mandating the use of the mothers body to survive ', 'we do not give  year olds the legal right to drink just because they have the potential to turn  ', 'this can be useful at treating disease and saving other human lives the lives of those already sentient ', 'even if the woman has stipulated to have consented to the risk of pregnancy that does not permit the state to force her to remain pregnant ', 'indeed most people who are do not support legal measures to protect life when it comes to caring for the sick and impoverished who need care in order to survive ', 'the constitution has been amended  times since its inception and interpreted innumerable times by the supreme court meaning the law as written is not necessarily the way the law has ought to remain ', 'embryonic stem cells are of great interest to medicine and science because of their ability to develop into virtually any other cell made by the human body ']	
245	['per the debate terms round  is for acceptance ']	
245		['one being that there is no constitutional legal or scientific basis for the fetus to obtain the unalienable rights that among these are life liberty and the pursuit of happiness ', 'this is also an incorrect use of the  amendment as the original intent was to abolish slavery as a practice as established in butler vs ', 'however under this same logic one could also question the legitimacy of the right to privacy for the mother in question too ', 'if con agrees to waive his her fourth round i ask the voters to not penalize danielle for not initially following the structure of the debate ', 'debate structure here is what has happened in this debate both pro and con presented their cases both pro and con refuted each others cases both pro and con offered counter rebuttals as of the posting of this argument as of now the debate is balanced in terms of who did what ', ' meanwhile con has not disputed the legal authority of the declaration of independence or the authority of the undhr ', 'in cases of rape a person who is unable to give consent who had sex with a partner would be defined as rape ']
245		['in fact before the supreme court case more than  of the illegal abortions were done by medical professionals with high standing in their fields ', 'this argument is irrelevant to the debate as it is after fertilization when a sperm and an egg become an embryo which you accept is a human being ', 'however rebuttals are not until round  which states pro rebuts con s case and vice versa i will proceed by refuting the arguments danielle made in round  but not his her rebuttals which i will address in round  ', 'the  amendment states nor shall any state deprive any person of life liberty or property without due process of law the  amendment does not grant these rights to animals and plants but persons ', 'as stated in the resolution if the mother s life is truly in danger she should be able to access the proper medical procedure ', 'meanwhile if you intentionally shoot a man meaning to kill him or if you order or pay an assassin to do the killing the person for you then you will be charged with either murder or conspiracy of murder ', 'con states that violating a person s bodily autonomy has no legal or moral basis yet advocates that the bodily rights of the unborn can be violated if it yields cures to various diseases ', 'con fails to make a connection why the actions of people should be related to how the pro life ideology should be judged ', 'despite the fact that slavery has been banned in over  countries we have the back alley version of slavery known as human trafficking ', 'the main thing wrong with this argument is that con does not prove that the human rights to life and bodily autonomy require the precedence of consciousness ', 'even if abortion laws do not prevent these back alley abortions there are still fundamental flaws in this argument ']
245		[' a more clear example is within the us constitution with the  amendment which states nor shall any state deprive any person of life liberty or property without due process of law the united states is also part of a larger coalition of countries known as the united nations therefore abides or at least should abide by protecting human rights as they define it ', 'even pro abortion advocates like the new scientist concede that a human zygote is a human being the task force finds that the new recombinant dna technologies indisputably prove that the unborn child is a whole human being from the moment of fertilization that all abortions terminate the life of a human being and that the unborn child is a separate human patient under the care of modern medicine ', 'with this data a huge vast majority of pregnancies are the result of consensual sex ', ' sub argument  human rights as stated above apply to unborn babies as stated in the united nations declaration of human rights there is no distinction between human being and a person as within article vi everyone has the right to be recognized as a person before law ', ' we also know that the each zygote is a distinctive human being because their dna is distinctive from either parent ', ' million pregnancies every year which makes up about less than half of a percent ', 'if you give a cop without a permit permission to enter your house and he she finds incriminating evidence to be used at your trial the  amendment cannot be used to help you ', 'as human beings under such entities they are entitled to inalienable rights such as the right to life ', 'even if the right to privacy and bodily autonomy overrides the right to life somehow in most cases it cannot be used in most cases of abortion ', 'to begin with stated within the united states declaration of independance we hold these truths to be self evident that all men are created equal that they are endowed by their creator with certain unalienable rights that among these are life liberty and the pursuit of happiness ', ' however as established before the unborn baby is due for protection under the law including the right to life ', 'below is an exert from an embryology textbook the development of a human being begins with fertilization a process by which two highly specialized cells the spermatozoon from the male and the oocyte from the female unite to give rise to a new organism the zygote ', 'there is no objective reason why these criteria should be imposed in deciding what is human and what is not human ']
245		['full resolution the usfg should ban abortion except in cases where the mothers life is in danger ']
246	['i extend all my contentions ']	
246	[]	
246	['this could have been a great debate ']	
246	['it is important to remind them that disabled people are still autonomous becausethey don t live inside the body of another person and suck up their nutrients ', 'there are no detectable brain waves that would translate to pain or fear until  weeks a point after which abortion is rare and illegal ', 'some animals eat poisonous plants and some even walk through spaces too small for them to crush the fetus ', 'simple you are hurting someone unconsensually they object to being killed and feel mortal danger and they have friends and family who will mourn ', 'if abortion is illegal dead people will officially have more rights than pregnant people because a dead persont be used if they aren t an organ donor ', 'if human sex were only for procreation the clitoris which plays a role in pleasure but no role in reproduction would not exist ', ' many will claim that sex is only for pro creation therefore it s only fair to punish people for having sex with an unwanted pregnancy ']	
246	['i am looking for someone to debate that abortion should be illegal ']	
246		[]
246		[]
246		[]
246		['please state your case ']
247	['thank you and no worries ']	
247	['granted the media is not the most reliable source as often it depends on which form of news media as well as the fact that it can be biased and ignore certain news in favour of others but you see rape a lot more than premature sex you also hear about it more ', 'initially premature sex does not have much to do with abortion premature sex would mainly be the issue of whether sexual education should be given out at young ages to teach children about that sort of thing ', 'out of all the rape cases I have read about i have never seen one where a rapist forces the victim to take an abortion pill ', 'you are saying that rather than teach the rapist not to rape you would rather force the woman through childbirth painful labour and if your premature arguments are worth anything extremely painful labour as the undeveloped children that do have sex will have to give birth using their own bodies of which all would not be ready for such a streinuous effort as childbirth and force them to then hand the baby over to the government and move on ', 'will every single rapist and judging by the rape culture that we are hopefully fighting there is quite a few rapists force their victim to take an abortion pill ']	
247	['the proportion of people having sex without contraception will not necessarily be high just because there is abortion available ']	
247	['if you think that even one type of abortion should still exist because it does not meet the definition of recall that this is pros whole case then you are voting con ', 'pro still fails to provide any reasoning for why a fetus which has yet to achieve personhood should be considered a person ', 'nor does the presence of a beating heart make a person might as well just point to any essential organ and proclaim it the essence of personhood ', 'he added another argument that a fetus is separate from the mother which I will address but otherwise he is left all of my arguments standing ', 'every cell on our bodies has human dna that does not make every cell a person ']	
247	['that autonomy disappears at the moment that society places a legal burden on you that prevents you from acting towards your own interests ', 'pro is building his case entirely on the premise that a potential human can be murdered and he will have to support that by either proving that the early stages of development include the acquiring of personhood or that the supposition that the child will eventually obtain personhood is sufficient reason to call it murder ', 'saying that abortion is murder implies that abortion is a unlawful b always premeditated and c that the fetus is by definition human ', 'whether the woman got pregnant by mistake by rape or did so purposefully but now faces severe medical or financial pressures it is their body that has to bear that baby for  months and no external body should be able to require that of them ', 'second we are talking about a lot of adoptions here ', 'try adding all those children to an already overburdened underfunded adoption system that rarely finds homes for the children it has and basically all you get is a tremendous number of orphaned children who will be similarly neglected by society at large ', 'i would say that abortion is most certainly lawful under the status quo and that pro has not really provided a reason why that is unreasonable ']	
247	['as he has not posted actual arguments but rather summarized his overall position on the issue i will respond in kind abortion should not be banned on the basis that its ban would harm womens rights remove it as a method of medical intervention and lead to child abuse and neglect ']	
247	['i do not see it as the child being punished and really when the pregnancy is really early on you can not even call it human yet because it is just a ball of cells ']	
247	['i think that the mother should not have to have a child if she does not want to if we do not allow legal safe abortions people will find other means of aborting an unwanted child if they are motivated enough ']	
247	['or what if a  old gets raped and will most likely not make it through child birth also she should not have to deal with the disapproving stares of strangers when her pregnancy is far along ']	
